window,target,model,fold,feature,coefficient,alpha
full_pre_response,log_RT_ms,hidden,5,hidden_31,-0.01943317987024784,464.1588833612773
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_00,-0.30044564561402104,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_01,-0.023098997468340085,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_02,0.24246898158012137,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_03,0.19426760001654553,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_04,0.217424569769474,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_05,-0.01956766187465715,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_06,0.0774861562633637,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_07,0.11671141454460143,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_08,0.0491075686757719,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_09,0.050546626293706085,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_10,0.1296892698311526,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_11,0.04894514990231682,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_12,0.014953931574283558,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_13,-0.3253564746987023,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_14,0.004176797696581277,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_15,0.006097870619025064,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_16,-0.011536358031033474,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_17,0.01894875957882304,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_18,0.17979775071232493,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_19,0.06930547718588922,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_20,0.08549750680522092,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_21,0.06451912438961568,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_22,0.01859974437196494,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_23,0.0010727644232603288,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_24,-0.012078057916245933,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_25,0.08375312639770424,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_26,0.053509665394466256,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_27,-0.03910732565429377,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_28,0.03344987215911481,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_29,0.04404060247028247,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_30,-0.24339207940957813,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,1,hidden_31,-0.0328886323233028,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_00,-0.22813824537900781,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_01,-0.06628058095130734,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_02,0.2640046317427895,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_03,0.1869837967731525,2.154434690031882
full_pre_response,log_RT_ms,baseline_plus_hidden,2,hidden_04,0.3183830329412207,2.154434690031882
