latent,rt_group,time_ms,mean
z1,medium,-42.34527587890625,0.3948482871055603
z1,medium,-38.43648147583008,0.39492902159690857
z1,medium,-34.527687072753906,0.39504027366638184
z1,medium,-30.618892669677734,0.3952045738697052
z1,medium,-26.710098266601562,0.39543023705482483
z1,medium,-22.80130386352539,0.39570561051368713
z1,medium,-18.892507553100586,0.3960035741329193
z1,medium,-14.983713150024414,0.3962915241718292
z1,medium,-11.074918746948242,0.3965202867984772
z1,medium,-7.166123867034912,0.3966604471206665
z1,medium,-3.257328987121582,0.39669445157051086
z1,medium,0.6514657735824585,0.3966504633426666
z1,medium,4.560260772705078,0.3966100513935089
z1,medium,8.46905517578125,0.3966386914253235
z1,medium,12.377850532531738,0.3967469334602356
z1,medium,16.286645889282227,0.3969138264656067
z1,medium,20.1954402923584,0.3970969617366791
z1,medium,24.10423469543457,0.39722582697868347
z1,medium,28.013029098510742,0.3972594738006592
z1,medium,31.921823501586914,0.39721575379371643
z1,medium,35.83061981201172,0.39714714884757996
z1,medium,39.73941421508789,0.39710721373558044
z1,medium,43.64820861816406,0.39711591601371765
z1,medium,47.557003021240234,0.39716827869415283
z1,medium,51.465797424316406,0.39724549651145935
z1,medium,55.37459182739258,0.39732787013053894
z1,medium,59.28338623046875,0.39740240573883057
z1,medium,63.19218063354492,0.39747169613838196
z1,medium,67.1009750366211,0.3975617587566376
z1,medium,71.00977325439453,0.3976915776729584
z1,medium,74.91856384277344,0.39785727858543396
z1,medium,78.82736206054688,0.3980143070220947
z1,medium,82.73615264892578,0.39810651540756226
z1,medium,86.64495086669922,0.3981536626815796
z1,medium,90.55374908447266,0.39819765090942383
z1,medium,94.46253967285156,0.39825430512428284
z1,medium,98.371337890625,0.3983134627342224
z1,medium,102.2801284790039,0.3983476459980011
z1,medium,106.18892669677734,0.3983554244041443
z1,medium,110.09771728515625,0.398380309343338
z1,medium,114.00651550292969,0.3984784483909607
z1,medium,117.9153060913086,0.398645281791687
z1,medium,121.82410430908203,0.3988146483898163
z1,medium,125.73290252685547,0.3989075720310211
z1,medium,129.64169311523438,0.39888760447502136
z1,medium,133.5504913330078,0.39880040287971497
z1,medium,137.45928955078125,0.3987150490283966
z1,medium,141.36807250976562,0.3986649811267853
z1,medium,145.27687072753906,0.398654580116272
z1,medium,149.1856689453125,0.39867404103279114
z1,medium,153.09446716308594,0.3986874520778656
z1,medium,157.0032501220703,0.39867687225341797
z1,medium,160.91204833984375,0.3986670672893524
z1,medium,164.8208465576172,0.398678183555603
z1,medium,168.72964477539062,0.3987100422382355
z1,medium,172.63844299316406,0.39876118302345276
z1,medium,176.54722595214844,0.39883890748023987
z1,medium,180.45602416992188,0.3989454209804535
z1,medium,184.3648223876953,0.3990611135959625
z1,medium,188.27362060546875,0.3991660177707672
z1,medium,192.18240356445312,0.3992518186569214
z1,medium,196.09120178222656,0.3993178904056549
z1,medium,200.0,0.3993590474128723
z1,slow,-1000.0,0.07235409319400787
z1,slow,-996.0911865234375,0.1367178112268448
z1,slow,-992.1824340820312,0.18937948346138
z1,slow,-988.2736206054688,0.23176325857639313
z1,slow,-984.3648071289062,0.26569995284080505
z1,slow,-980.4560546875,0.2927760183811188
z1,slow,-976.5472412109375,0.3143348693847656
z1,slow,-972.638427734375,0.331459105014801
z1,slow,-968.7296142578125,0.3450201749801636
z1,slow,-964.8208618164062,0.3557324707508087
z1,slow,-960.9120483398438,0.3641660809516907
z1,slow,-957.0032348632812,0.3708201050758362
z1,slow,-953.094482421875,0.3760792315006256
z1,slow,-949.1856689453125,0.3802146315574646
z1,slow,-945.27685546875,0.383465439081192
z1,slow,-941.3681030273438,0.3860417604446411
z1,slow,-937.4592895507812,0.3881426751613617
z1,slow,-933.5504760742188,0.3899086117744446
z1,slow,-929.6417236328125,0.391372412443161
z1,slow,-925.73291015625,0.39252105355262756
z1,slow,-921.8240966796875,0.39339619874954224
z1,slow,-917.915283203125,0.39404869079589844
z1,slow,-914.0065307617188,0.3945099711418152
z1,slow,-910.0977172851562,0.39477935433387756
z1,slow,-906.1889038085938,0.39487943053245544
z1,slow,-902.2801513671875,0.39485102891921997
z1,slow,-898.371337890625,0.3947373330593109
z1,slow,-894.4625244140625,0.39457958936691284
z1,slow,-890.5537719726562,0.39439359307289124
z1,slow,-886.6449584960938,0.3941972851753235
z1,slow,-882.7361450195312,0.394023060798645
z1,slow,-878.8273315429688,0.3939150869846344
z1,slow,-874.9185791015625,0.393875390291214
z1,slow,-871.009765625,0.39388561248779297
z1,slow,-867.1009521484375,0.39391419291496277
z1,slow,-863.1921997070312,0.39392900466918945
z1,slow,-859.2833862304688,0.3939281702041626
z1,slow,-855.3745727539062,0.39391133189201355
z1,slow,-851.4658203125,0.39387059211730957
z1,slow,-847.5570068359375,0.39382484555244446
z1,slow,-843.648193359375,0.3937993347644806
z1,slow,-839.7394409179688,0.3937974274158478
z1,slow,-835.8306274414062,0.3938174843788147
z1,slow,-831.9218139648438,0.39384761452674866
z1,slow,-828.0130004882812,0.3938364088535309
z1,slow,-824.104248046875,0.3937768042087555
z1,slow,-820.1954345703125,0.3936932682991028
z1,slow,-816.28662109375,0.393632173538208
z1,slow,-812.3778686523438,0.3935825824737549
z1,slow,-808.4690551757812,0.3935045599937439
z1,slow,-804.5602416992188,0.3934001326560974
z1,slow,-800.6514892578125,0.3932743966579437
z1,slow,-796.74267578125,0.3931652903556824
z1,slow,-792.8338623046875,0.39309898018836975
z1,slow,-788.9251098632812,0.3930666148662567
z1,slow,-785.0162963867188,0.39303284883499146
z1,slow,-781.1074829101562,0.3929530084133148
z1,slow,-777.1986694335938,0.3928053081035614
z1,slow,-773.2899169921875,0.39260706305503845
z1,slow,-769.381103515625,0.39240700006484985
z1,slow,-765.4722900390625,0.3922412395477295
z1,slow,-761.5635375976562,0.39213669300079346
z1,slow,-757.6547241210938,0.392100065946579
z1,slow,-753.7459106445312,0.39210957288742065
z1,slow,-749.837158203125,0.3921435475349426
z1,slow,-745.9283447265625,0.3921636641025543
z1,slow,-742.01953125,0.3921459913253784
z1,slow,-738.1107788085938,0.3920741677284241
z1,slow,-734.2019653320312,0.39195898175239563
z1,slow,-730.2931518554688,0.3918774127960205
z1,slow,-726.3843383789062,0.3918907642364502
z1,slow,-722.4755859375,0.39198198914527893
z1,slow,-718.5667724609375,0.3920961320400238
z1,slow,-714.657958984375,0.39218854904174805
z1,slow,-710.7492065429688,0.39224156737327576
z1,slow,-706.8403930664062,0.392246812582016
z1,slow,-702.9315795898438,0.39221981167793274
z1,slow,-699.0228271484375,0.3922198414802551
z1,slow,-695.114013671875,0.3922528326511383
z1,slow,-691.2052001953125,0.3922750949859619
z1,slow,-687.29638671875,0.39224812388420105
z1,slow,-683.3876342773438,0.392180860042572
z1,slow,-679.4788208007812,0.3920922875404358
z1,slow,-675.5700073242188,0.39198926091194153
z1,slow,-671.6612548828125,0.3918972909450531
z1,slow,-667.75244140625,0.39185187220573425
z1,slow,-663.8436279296875,0.39187029004096985
z1,slow,-659.9348754882812,0.3919464647769928
z1,slow,-656.0260620117188,0.3920578062534332
z1,slow,-652.1172485351562,0.39217913150787354
z1,slow,-648.20849609375,0.39225760102272034
z1,slow,-644.2996826171875,0.3922549784183502
z1,slow,-640.390869140625,0.3921906054019928
z1,slow,-636.4820556640625,0.3921174705028534
z1,slow,-632.5733032226562,0.39206790924072266
z1,slow,-628.6644897460938,0.3920592665672302
z1,slow,-624.7556762695312,0.39210739731788635
z1,slow,-620.846923828125,0.39222195744514465
z1,slow,-616.9381103515625,0.3923525810241699
z1,slow,-613.029296875,0.3924078047275543
z1,slow,-609.1205444335938,0.39235469698905945
z1,slow,-605.2117309570312,0.39223960041999817
z1,slow,-601.3029174804688,0.39213359355926514
z1,slow,-597.3941650390625,0.3920789361000061
z1,slow,-593.4853515625,0.39208221435546875
z1,slow,-589.5765380859375,0.39213821291923523
z1,slow,-585.667724609375,0.3922328054904938
z1,slow,-581.7589721679688,0.3923119604587555
z1,slow,-577.8501586914062,0.39232441782951355
z1,slow,-573.9413452148438,0.3922733664512634
z1,slow,-570.0325927734375,0.3921917676925659
z1,slow,-566.123779296875,0.39211705327033997
z1,slow,-562.2149658203125,0.39210838079452515
z1,slow,-558.3062133789062,0.39221933484077454
z1,slow,-554.3973999023438,0.39243295788764954
z1,slow,-550.4885864257812,0.3926829397678375
z1,slow,-546.579833984375,0.392918199300766
z1,slow,-542.6710205078125,0.3931370675563812
z1,slow,-538.76220703125,0.3933449983596802
z1,slow,-534.8533935546875,0.3935566842556
z1,slow,-530.9446411132812,0.3937929570674896
z1,slow,-527.0358276367188,0.3940536379814148
z1,slow,-523.1270141601562,0.39430925250053406
z1,slow,-519.21826171875,0.39449334144592285
z1,slow,-515.3094482421875,0.394595205783844
z1,slow,-511.4006652832031,0.3946506679058075
z1,slow,-507.4918518066406,0.39467334747314453
z1,slow,-503.58306884765625,0.3946772515773773
z1,slow,-499.67425537109375,0.39469194412231445
z1,slow,-495.7654724121094,0.39473992586135864
z1,slow,-491.856689453125,0.3948269784450531
z1,slow,-487.9478759765625,0.3949257433414459
z1,slow,-484.0390930175781,0.394989937543869
z1,slow,-480.1302795410156,0.39501529932022095
z1,slow,-476.22149658203125,0.3950105905532837
z1,slow,-472.3127136230469,0.3949677646160126
z1,slow,-468.4039001464844,0.394893616437912
z1,slow,-464.4951171875,0.3948066234588623
z1,slow,-460.5863342285156,0.3947158753871918
z1,slow,-456.6775207519531,0.39463183283805847
z1,slow,-452.76873779296875,0.39455023407936096
z1,slow,-448.85992431640625,0.3944612443447113
z1,slow,-444.9511413574219,0.3943834900856018
z1,slow,-441.0423583984375,0.39437851309776306
z1,slow,-437.133544921875,0.39447319507598877
z1,slow,-433.2247619628906,0.3946552574634552
z1,slow,-429.3159484863281,0.39491480588912964
z1,slow,-425.40716552734375,0.3952145576477051
z1,slow,-421.4983825683594,0.3954668939113617
z1,slow,-417.5895690917969,0.39563271403312683
z1,slow,-413.6807861328125,0.39573755860328674
z1,slow,-409.77197265625,0.39583101868629456
z1,slow,-405.8631896972656,0.39591526985168457
z1,slow,-401.95440673828125,0.3959798812866211
z1,slow,-398.04559326171875,0.39604321122169495
z1,slow,-394.1368103027344,0.3961193561553955
