time_ms,latent,correlation_with_log_rt
-69.70684051513672,z1,0.09531499291565794
-65.79804229736328,z1,0.09449008805118753
-61.889251708984375,z1,0.0952091401769926
-57.9804573059082,z1,0.09672966713383957
-54.07166290283203,z1,0.09801385280435017
-50.162864685058594,z1,0.09863316756570126
-46.25407028198242,z1,0.09889962543312052
-42.34527587890625,z1,0.09875940516792099
-38.43648147583008,z1,0.09786156330680582
-34.527687072753906,z1,0.09626819600651824
-30.618892669677734,z1,0.09385442225234858
-26.710098266601562,z1,0.09090816387411245
-22.80130386352539,z1,0.08836846108236454
-18.892507553100586,z1,0.08709843862854116
-14.983713150024414,z1,0.08744026849057443
-11.074918746948242,z1,0.08950808899062423
-7.166123867034912,z1,0.09267241290228219
-3.257328987121582,z1,0.09564809429541879
0.6514657735824585,z1,0.09748347513800071
4.560260772705078,z1,0.09781825041597599
8.46905517578125,z1,0.09708093401067956
12.377850532531738,z1,0.09640211536971316
16.286645889282227,z1,0.09664350501310794
20.1954402923584,z1,0.09824810375200445
24.10423469543457,z1,0.10096205397937404
28.013029098510742,z1,0.10422777064696839
31.921823501586914,z1,0.10713112667077214
35.83061981201172,z1,0.10847656240543004
39.73941421508789,z1,0.10751783952379394
43.64820861816406,z1,0.10430947995101883
47.557003021240234,z1,0.09967879052397918
51.465797424316406,z1,0.09482108873368193
55.37459182739258,z1,0.09111722249335627
59.28338623046875,z1,0.0895285757104036
63.19218063354492,z1,0.09000500421404581
67.1009750366211,z1,0.0915531514264553
71.00977325439453,z1,0.09249374184771368
74.91856384277344,z1,0.09160608259532449
78.82736206054688,z1,0.08899722247034934
82.73615264892578,z1,0.0857744622318125
86.64495086669922,z1,0.08304859544510852
90.55374908447266,z1,0.08120940448028299
94.46253967285156,z1,0.08013308235572797
98.371337890625,z1,0.079111384699743
102.2801284790039,z1,0.07714037945659849
106.18892669677734,z1,0.07385802602170115
110.09771728515625,z1,0.06947890810782206
114.00651550292969,z1,0.06510071491428457
117.9153060913086,z1,0.06217949925561386
121.82410430908203,z1,0.06127703429863295
125.73290252685547,z1,0.06159279691272958
129.64169311523438,z1,0.06199247073219586
133.5504913330078,z1,0.06194337797156298
137.45928955078125,z1,0.06147112253965659
141.36807250976562,z1,0.060650201867981826
145.27687072753906,z1,0.05943856779513964
149.1856689453125,z1,0.05804672716965565
153.09446716308594,z1,0.05694332258821511
157.0032501220703,z1,0.05618059882190985
160.91204833984375,z1,0.05535106411346507
164.8208465576172,z1,0.05406401482586002
168.72964477539062,z1,0.05234030508906444
172.63844299316406,z1,0.050405447712994426
176.54722595214844,z1,0.048674273828395315
180.45602416992188,z1,0.04765534467018677
184.3648223876953,z1,0.04748611689574853
188.27362060546875,z1,0.04792567194822472
192.18240356445312,z1,0.048477137266639124
196.09120178222656,z1,0.04870555230420529
200.0,z1,0.04805399189474412
-1000.0,z2,-0.011177681692026918
-996.0911865234375,z2,-0.01268400854169701
-992.1824340820312,z2,-0.013903690910326725
-988.2736206054688,z2,-0.015192242532830804
-984.3648071289062,z2,-0.016374388866805232
-980.4560546875,z2,-0.017267015532358397
-976.5472412109375,z2,-0.01780070972047826
-972.638427734375,z2,-0.01796639010214871
-968.7296142578125,z2,-0.018018495374803906
-964.8208618164062,z2,-0.018341496911112184
-960.9120483398438,z2,-0.01919634176655382
-957.0032348632812,z2,-0.020565634258939158
-953.094482421875,z2,-0.022232615921265398
-949.1856689453125,z2,-0.024110636127341396
-945.27685546875,z2,-0.02627898413096897
-941.3681030273438,z2,-0.02872750524151122
-937.4592895507812,z2,-0.03154062192258181
-933.5504760742188,z2,-0.03487937754604495
-929.6417236328125,z2,-0.03857907273740423
-925.73291015625,z2,-0.042034166911747765
-921.8240966796875,z2,-0.0445874456188339
-917.915283203125,z2,-0.04579966705014145
-914.0065307617188,z2,-0.04551393729772059
-910.0977172851562,z2,-0.04402048129245398
-906.1889038085938,z2,-0.041920760814169844
