window,model,fold,feature,coefficient
early (-600 to -300 ms),baseline+cpp+z,2,baseline_3,0.005433198995888233
early (-600 to -300 ms),baseline+cpp+z,2,baseline_4,0.02101757563650608
early (-600 to -300 ms),baseline+cpp+z,2,cpp_mean,0.0314057283103466
early (-600 to -300 ms),baseline+cpp+z,2,cpp_late,-0.09210924804210663
early (-600 to -300 ms),baseline+cpp+z,2,cpp_slope,0.03776326775550842
early (-600 to -300 ms),baseline+cpp+z,2,z1_mean,-0.007617900148034096
early (-600 to -300 ms),baseline+cpp+z,2,z2_mean,-0.04511184245347977
early (-600 to -300 ms),baseline+cpp+z,2,z3_mean,-0.03347950056195259
early (-600 to -300 ms),baseline+cpp+z,2,z4_mean,-0.02737540565431118
early (-600 to -300 ms),baseline+cpp+z,2,z5_mean,0.029301444068551064
early (-600 to -300 ms),baseline+cpp+z,3,baseline_0,0.053741469979286194
early (-600 to -300 ms),baseline+cpp+z,3,baseline_1,-0.026078909635543823
early (-600 to -300 ms),baseline+cpp+z,3,baseline_2,-0.03589598461985588
early (-600 to -300 ms),baseline+cpp+z,3,baseline_3,0.007612262386828661
early (-600 to -300 ms),baseline+cpp+z,3,baseline_4,0.02266731485724449
early (-600 to -300 ms),baseline+cpp+z,3,cpp_mean,0.006813576444983482
early (-600 to -300 ms),baseline+cpp+z,3,cpp_late,-0.07159480452537537
early (-600 to -300 ms),baseline+cpp+z,3,cpp_slope,0.028962666168808937
early (-600 to -300 ms),baseline+cpp+z,3,z1_mean,-0.0006930436939001083
early (-600 to -300 ms),baseline+cpp+z,3,z2_mean,-0.04838055744767189
early (-600 to -300 ms),baseline+cpp+z,3,z3_mean,-0.03644242882728577
early (-600 to -300 ms),baseline+cpp+z,3,z4_mean,-0.01738840341567993
early (-600 to -300 ms),baseline+cpp+z,3,z5_mean,0.0172470360994339
early (-600 to -300 ms),baseline+cpp+z,4,baseline_0,0.05224064737558365
early (-600 to -300 ms),baseline+cpp+z,4,baseline_1,-0.023479022085666656
early (-600 to -300 ms),baseline+cpp+z,4,baseline_2,-0.034251417964696884
early (-600 to -300 ms),baseline+cpp+z,4,baseline_3,0.00793504249304533
early (-600 to -300 ms),baseline+cpp+z,4,baseline_4,0.019602257758378983
early (-600 to -300 ms),baseline+cpp+z,4,cpp_mean,0.012465373612940311
early (-600 to -300 ms),baseline+cpp+z,4,cpp_late,-0.0809745043516159
