window,model,fold,r2,corr,alpha,n_train,n_test,delta_vs_baseline,delta_vs_cpp
early (-600 to -300 ms),baseline+cpp+z,5,0.013860450836502114,0.31221279472619445,44.21499907374487,5862,1435,-0.055277600223335166,0.0024491455845053745
mid (-300 to -120 ms),baseline,1,0.05982667900902339,0.26500081056455377,164.130719537513,5863,1434,0.0,-0.0806198416509506
mid (-300 to -120 ms),baseline,2,0.07529404398341111,0.27944672740635135,57.476944248353526,5754,1543,0.0,-0.05071060095381408
mid (-300 to -120 ms),baseline,3,0.06453249677493611,0.2997465557785305,126.26001098748551,5865,1432,0.0,-0.09371181171860665
mid (-300 to -120 ms),baseline,4,0.13515693812584662,0.3784088381441263,126.26001098748551,5844,1453,0.0,-0.061587227166503444
mid (-300 to -120 ms),baseline,5,0.06913805105983728,0.3231867971724852,164.130719537513,5862,1435,0.0,0.05772674580784054
mid (-300 to -120 ms),z-only,1,0.026622384963739587,0.279409842051601,1338.3887531737564,5863,1434,-0.0332042940452838,-0.1138241356962344
mid (-300 to -120 ms),z-only,2,0.006424398756899596,0.09144299180136187,1338.3887531737564,5754,1543,-0.06886964522651151,-0.11958024618032559
mid (-300 to -120 ms),z-only,3,-0.001968603221052634,0.1796479848757734,2940.0480643347078,5865,1432,-0.06650109999598874,-0.1602129117145954
mid (-300 to -120 ms),z-only,4,0.007499698229967211,0.1280943165878723,2261.6759492228643,5844,1453,-0.1276572398958794,-0.18924446706238285
mid (-300 to -120 ms),z-only,5,-0.11778985521443497,0.06545270427879729,34.013049382792495,5862,1435,-0.18692790627427225,-0.1292011604664317
mid (-300 to -120 ms),baseline+z,1,0.0971060902889338,0.330514142806609,468.69041923141924,5863,1434,0.03727941127991041,-0.043340430371040184
mid (-300 to -120 ms),baseline+z,2,0.0848379108550551,0.29390820614539015,468.69041923141924,5754,1543,0.009543866871643991,-0.04116673408217009
mid (-300 to -120 ms),baseline+z,3,0.08422217235974905,0.3385400360691366,792.0164050192541,5865,1432,0.019689675584812938,-0.07402213613379371
mid (-300 to -120 ms),baseline+z,4,0.13817175573143647,0.39115204239207496,792.0164050192541,5844,1453,0.003014817605589859,-0.058572409560913585
mid (-300 to -120 ms),baseline+z,5,0.002251161733893836,0.26919185940891316,44.21499907374487,5862,1435,-0.06688688932594344,-0.009160143518102903
mid (-300 to -120 ms),baseline+shuffled-z,1,0.059347724556342296,0.26437203029336714,213.3604526501411,5863,1434,-0.0004789544526810907,-0.08109879610363169
mid (-300 to -120 ms),baseline+shuffled-z,2,0.07544737264898682,0.2794427510300416,126.26001098748551,5754,1543,0.00015332866557571379,-0.050557272288238364
mid (-300 to -120 ms),baseline+shuffled-z,3,0.06409535998098614,0.2991171531133389,213.3604526501411,5865,1432,-0.00043713679394996596,-0.09414894851255662
mid (-300 to -120 ms),baseline+shuffled-z,4,0.13342404245311723,0.3762647003014086,213.3604526501411,5844,1453,-0.0017328956727293843,-0.06332012283923283
mid (-300 to -120 ms),baseline+shuffled-z,5,0.06770213274965686,0.3214932018745604,164.130719537513,5862,1435,-0.0014359183101804174,0.05629082749766012
mid (-300 to -120 ms),baseline+cpp,1,0.14044652065997398,0.382622376740892,9.162739011886732,5863,1434,0.0806198416509506,0.0
mid (-300 to -120 ms),baseline+cpp,2,0.12600464493722519,0.3568146233715528,0.01,5754,1543,0.05071060095381408,0.0
mid (-300 to -120 ms),baseline+cpp,3,0.15824430849354276,0.429645089738131,34.013049382792495,5865,1432,0.09371181171860665,0.0
mid (-300 to -120 ms),baseline+cpp,4,0.19674416529235006,0.4537557793093807,44.21499907374487,5844,1453,0.061587227166503444,0.0
mid (-300 to -120 ms),baseline+cpp,5,0.01141130525199674,0.28551080640421334,11.911031332830067,5862,1435,-0.05772674580784054,0.0
mid (-300 to -120 ms),baseline+cpp+z,1,0.16339062533227655,0.41570582705509446,126.26001098748551,5863,1434,0.10356394632325316,0.022944104672302568
mid (-300 to -120 ms),baseline+cpp+z,2,0.12293435000318542,0.3526944532787806,74.71670675868074,5754,1543,0.047640306019774314,-0.0030702949340397634
mid (-300 to -120 ms),baseline+cpp+z,3,0.16484779615264156,0.438762177968393,164.130719537513,5865,1432,0.10031529937770545,0.0066034876590987945
mid (-300 to -120 ms),baseline+cpp+z,4,0.1970776830788452,0.4570101888477243,213.3604526501411,5844,1453,0.061920744952998596,0.0003335177864951522
mid (-300 to -120 ms),baseline+cpp+z,5,0.010578959956678236,0.29388361110335964,74.71670675868074,5862,1435,-0.058559091103159044,-0.000832345295318504
late (-120 to -50 ms),baseline,1,0.05982667900902339,0.26500081056455377,164.130719537513,5863,1434,0.0,-0.0806198416509506
late (-120 to -50 ms),baseline,2,0.07529404398341111,0.27944672740635135,57.476944248353526,5754,1543,0.0,-0.05071060095381408
late (-120 to -50 ms),baseline,3,0.06453249677493611,0.2997465557785305,126.26001098748551,5865,1432,0.0,-0.09371181171860665
late (-120 to -50 ms),baseline,4,0.13515693812584662,0.3784088381441263,126.26001098748551,5844,1453,0.0,-0.061587227166503444
late (-120 to -50 ms),baseline,5,0.06913805105983728,0.3231867971724852,164.130719537513,5862,1435,0.0,0.05772674580784054
late (-120 to -50 ms),z-only,1,0.026384767118138197,0.2076182670184716,1029.5755673125127,5863,1434,-0.03344191189088519,-0.11406175354183579
late (-120 to -50 ms),z-only,2,0.022435699349908744,0.15682640928083846,1338.3887531737564,5754,1543,-0.05285834463350236,-0.10356894558731644
late (-120 to -50 ms),z-only,3,0.009028666013228825,0.21438529917326596,2261.6759492228643,5865,1432,-0.055503830761707285,-0.14921564248031394
late (-120 to -50 ms),z-only,4,0.02659368388473249,0.19121559405872635,1739.8280529303622,5844,1453,-0.10856325424111413,-0.17015048140761757
late (-120 to -50 ms),z-only,5,-0.0923276993865767,0.08458121910941394,26.165046987488207,5862,1435,-0.16146575044641398,-0.10373900463857344
late (-120 to -50 ms),baseline+z,1,0.09529100660880563,0.3213522856197433,468.69041923141924,5863,1434,0.03546432759978224,-0.045155514051168355
late (-120 to -50 ms),baseline+z,2,0.10123367722877852,0.31971762404185433,468.69041923141924,5754,1543,0.02593963324536741,-0.024770967708446667
late (-120 to -50 ms),baseline+z,3,0.0954430275303142,0.3571418380333151,792.0164050192541,5865,1432,0.030910530755378085,-0.06280128096322857
late (-120 to -50 ms),baseline+z,4,0.15454684271721741,0.40888258399807104,609.2704661368674,5844,1453,0.0193899045913708,-0.042197322575132645
late (-120 to -50 ms),baseline+z,5,0.008423033128101554,0.2765198512678499,34.013049382792495,5862,1435,-0.060715017931735726,-0.002988272123895186
late (-120 to -50 ms),baseline+shuffled-z,1,0.05971522337056179,0.26477759804789397,360.54711542504987,5863,1434,-0.00011145563846159945,-0.0807312972894122
late (-120 to -50 ms),baseline+shuffled-z,2,0.07297982824145521,0.27529735095555186,213.3604526501411,5754,1543,-0.002314215741955894,-0.05302481669576997
late (-120 to -50 ms),baseline+shuffled-z,3,0.06259731167677751,0.29610598049590303,213.3604526501411,5865,1432,-0.0019351850981585983,-0.09564699681676525
late (-120 to -50 ms),baseline+shuffled-z,4,0.13384860409201915,0.3773846315779931,277.35626141984125,5844,1453,-0.001308334033827463,-0.06289556120033091
late (-120 to -50 ms),baseline+shuffled-z,5,0.06720216151135727,0.32079306348094294,213.3604526501411,5862,1435,-0.0019358895484800076,0.05579085625936053
late (-120 to -50 ms),baseline+cpp,1,0.14044652065997398,0.382622376740892,9.162739011886732,5863,1434,0.0806198416509506,0.0
late (-120 to -50 ms),baseline+cpp,2,0.12600464493722519,0.3568146233715528,0.01,5754,1543,0.05071060095381408,0.0
late (-120 to -50 ms),baseline+cpp,3,0.15824430849354276,0.429645089738131,34.013049382792495,5865,1432,0.09371181171860665,0.0
late (-120 to -50 ms),baseline+cpp,4,0.19674416529235006,0.4537557793093807,44.21499907374487,5844,1453,0.061587227166503444,0.0
late (-120 to -50 ms),baseline+cpp,5,0.01141130525199674,0.28551080640421334,11.911031332830067,5862,1435,-0.05772674580784054,0.0
late (-120 to -50 ms),baseline+cpp+z,1,0.14844961138436752,0.39523412425915094,126.26001098748551,5863,1434,0.08862293237534413,0.008003090724393536
late (-120 to -50 ms),baseline+cpp+z,2,0.12398333920957016,0.35360921202145906,97.12740198471168,5754,1543,0.04868929522615906,-0.0020213057276550206
late (-120 to -50 ms),baseline+cpp+z,3,0.15657902725966377,0.4273362507005816,213.3604526501411,5865,1432,0.09204653048472766,-0.0016652812338789902
late (-120 to -50 ms),baseline+cpp+z,4,0.19119943320204547,0.44888594427644446,164.130719537513,5844,1453,0.05604249507619885,-0.005544732090304594
late (-120 to -50 ms),baseline+cpp+z,5,0.005408368639147398,0.28647927351287056,34.013049382792495,5862,1435,-0.06372968242068988,-0.006002936612849341
full (-600 to -50 ms),baseline,1,0.05982667900902339,0.26500081056455377,164.130719537513,5863,1434,0.0,-0.0806198416509506
full (-600 to -50 ms),baseline,2,0.07529404398341111,0.27944672740635135,57.476944248353526,5754,1543,0.0,-0.05071060095381408
full (-600 to -50 ms),baseline,3,0.06453249677493611,0.2997465557785305,126.26001098748551,5865,1432,0.0,-0.09371181171860665
full (-600 to -50 ms),baseline,4,0.13515693812584662,0.3784088381441263,126.26001098748551,5844,1453,0.0,-0.061587227166503444
full (-600 to -50 ms),baseline,5,0.06913805105983728,0.3231867971724852,164.130719537513,5862,1435,0.0,0.05772674580784054
full (-600 to -50 ms),z-only,1,0.02148329985835018,0.2265919562418532,97.12740198471168,5863,1434,-0.03834337915067321,-0.1189632208016238
full (-600 to -50 ms),z-only,2,0.005482421285002648,0.08762925308659861,126.26001098748551,5754,1543,-0.06981162269840846,-0.12052222365222254
full (-600 to -50 ms),z-only,3,-0.006992219217057283,0.13741554638941236,609.2704661368674,5865,1432,-0.07152471599199339,-0.16523652771060005
full (-600 to -50 ms),z-only,4,0.00427329021931544,0.11625681957912266,1029.5755673125127,5844,1453,-0.13088364790653118,-0.19247087507303462
full (-600 to -50 ms),z-only,5,-0.11959335089232193,0.06680026588448171,26.165046987488207,5862,1435,-0.1887314019521592,-0.13100465614431867
full (-600 to -50 ms),baseline+z,1,0.09104063063043344,0.32069604083505576,164.130719537513,5863,1434,0.031213951621410052,-0.049405890029540545
full (-600 to -50 ms),baseline+z,2,0.08292550197698689,0.29178539580370355,164.130719537513,5754,1543,0.007631457993575785,-0.04307914296023829
full (-600 to -50 ms),baseline+z,3,0.07783863519000311,0.31845137700769854,360.54711542504987,5865,1432,0.013306138415067004,-0.08040567330353965
full (-600 to -50 ms),baseline+z,4,0.13856078247030434,0.3921994334008,609.2704661368674,5844,1453,0.0034038443444577293,-0.058183382822045715
full (-600 to -50 ms),baseline+z,5,-0.003257975333040175,0.26362139360077963,34.013049382792495,5862,1435,-0.07239602639287746,-0.014669280585036915
full (-600 to -50 ms),baseline+shuffled-z,1,0.05991109082641144,0.26496481616868944,277.35626141984125,5863,1434,8.441181738805259e-05,-0.08053542983356254
