seed,subject_id,cpp_feature,z_feature,within_subject_corr
0,sub-STSWD1281,CPP_late_mean,aligned_z2_late_mean,0.9807773232460022
0,sub-STSWD1117,CPP_late_mean,aligned_z2_slope,0.4212094147288647
0,sub-STSWD1118,CPP_late_mean,aligned_z2_slope,0.5244426975824297
0,sub-STSWD1120,CPP_late_mean,aligned_z2_slope,0.6125733271579749
0,sub-STSWD1124,CPP_late_mean,aligned_z2_slope,0.5236678565240911
0,sub-STSWD1126,CPP_late_mean,aligned_z2_slope,0.23668141336433235
0,sub-STSWD1131,CPP_late_mean,aligned_z2_slope,0.6142350510482869
0,sub-STSWD1132,CPP_late_mean,aligned_z2_slope,0.3043592360946944
0,sub-STSWD1135,CPP_late_mean,aligned_z2_slope,0.5047953195201449
0,sub-STSWD1136,CPP_late_mean,aligned_z2_slope,0.5685173139074209
0,sub-STSWD1151,CPP_late_mean,aligned_z2_slope,0.5617374041458726
0,sub-STSWD1160,CPP_late_mean,aligned_z2_slope,0.4951531701288268
0,sub-STSWD1164,CPP_late_mean,aligned_z2_slope,0.5997453901120666
0,sub-STSWD1167,CPP_late_mean,aligned_z2_slope,0.5058993991196032
0,sub-STSWD1169,CPP_late_mean,aligned_z2_slope,0.48450904764852387
0,sub-STSWD1172,CPP_late_mean,aligned_z2_slope,0.5901423281825218
0,sub-STSWD1173,CPP_late_mean,aligned_z2_slope,0.6030028665053805
0,sub-STSWD1178,CPP_late_mean,aligned_z2_slope,0.40811618218094114
0,sub-STSWD1182,CPP_late_mean,aligned_z2_slope,0.4422189668291764
0,sub-STSWD1215,CPP_late_mean,aligned_z2_slope,0.6534026156461852
0,sub-STSWD1216,CPP_late_mean,aligned_z2_slope,0.31940726630380617
0,sub-STSWD1219,CPP_late_mean,aligned_z2_slope,0.4927987129370511
0,sub-STSWD1223,CPP_late_mean,aligned_z2_slope,0.5080208351791637
0,sub-STSWD1227,CPP_late_mean,aligned_z2_slope,0.48928374336918967
0,sub-STSWD1233,CPP_late_mean,aligned_z2_slope,0.482898007508882
0,sub-STSWD1234,CPP_late_mean,aligned_z2_slope,0.5373106085183553
0,sub-STSWD1237,CPP_late_mean,aligned_z2_slope,0.5324769012862404
0,sub-STSWD1239,CPP_late_mean,aligned_z2_slope,0.6687207224954703
0,sub-STSWD1240,CPP_late_mean,aligned_z2_slope,0.5492382179837527
0,sub-STSWD1243,CPP_late_mean,aligned_z2_slope,0.3755047527417832
0,sub-STSWD1245,CPP_late_mean,aligned_z2_slope,0.6213464423220285
0,sub-STSWD1247,CPP_late_mean,aligned_z2_slope,0.464063830311374
0,sub-STSWD1250,CPP_late_mean,aligned_z2_slope,0.5101554723965371
0,sub-STSWD1252,CPP_late_mean,aligned_z2_slope,0.44289439776844153
0,sub-STSWD1257,CPP_late_mean,aligned_z2_slope,0.5909894381131081
0,sub-STSWD1261,CPP_late_mean,aligned_z2_slope,0.5532928950838032
0,sub-STSWD1265,CPP_late_mean,aligned_z2_slope,0.43073227051099433
0,sub-STSWD1266,CPP_late_mean,aligned_z2_slope,0.5871866859203364
0,sub-STSWD1268,CPP_late_mean,aligned_z2_slope,0.48368051310538096
0,sub-STSWD1270,CPP_late_mean,aligned_z2_slope,0.6194709649247777
0,sub-STSWD1276,CPP_late_mean,aligned_z2_slope,0.6237094197359414
0,sub-STSWD1281,CPP_late_mean,aligned_z2_slope,0.4810798108046835
0,sub-STSWD1117,CPP_late_mean,aligned_z2_peak,0.5911078453063965
0,sub-STSWD1118,CPP_late_mean,aligned_z2_peak,0.5327104926109314
0,sub-STSWD1120,CPP_late_mean,aligned_z2_peak,0.5387275218963623
0,sub-STSWD1124,CPP_late_mean,aligned_z2_peak,0.6829051375389099
0,sub-STSWD1126,CPP_late_mean,aligned_z2_peak,0.429055392742157
0,sub-STSWD1131,CPP_late_mean,aligned_z2_peak,0.458761990070343
0,sub-STSWD1132,CPP_late_mean,aligned_z2_peak,0.5779561996459961
0,sub-STSWD1135,CPP_late_mean,aligned_z2_peak,0.5256872773170471
0,sub-STSWD1136,CPP_late_mean,aligned_z2_peak,0.6018535494804382
0,sub-STSWD1151,CPP_late_mean,aligned_z2_peak,0.5477291345596313
0,sub-STSWD1160,CPP_late_mean,aligned_z2_peak,0.4676589369773865
0,sub-STSWD1164,CPP_late_mean,aligned_z2_peak,0.3563470244407654
0,sub-STSWD1167,CPP_late_mean,aligned_z2_peak,0.5259747505187988
0,sub-STSWD1169,CPP_late_mean,aligned_z2_peak,0.4902317523956299
0,sub-STSWD1172,CPP_late_mean,aligned_z2_peak,0.583640456199646
0,sub-STSWD1173,CPP_late_mean,aligned_z2_peak,0.4779670536518097
0,sub-STSWD1178,CPP_late_mean,aligned_z2_peak,0.48766422271728516
0,sub-STSWD1182,CPP_late_mean,aligned_z2_peak,0.529918909072876
0,sub-STSWD1215,CPP_late_mean,aligned_z2_peak,0.4734189212322235
0,sub-STSWD1216,CPP_late_mean,aligned_z2_peak,0.40148043632507324
0,sub-STSWD1219,CPP_late_mean,aligned_z2_peak,0.5142747163772583
0,sub-STSWD1223,CPP_late_mean,aligned_z2_peak,0.5807449817657471
0,sub-STSWD1227,CPP_late_mean,aligned_z2_peak,0.6217882633209229
0,sub-STSWD1233,CPP_late_mean,aligned_z2_peak,0.37451601028442383
0,sub-STSWD1234,CPP_late_mean,aligned_z2_peak,0.5372251868247986
0,sub-STSWD1237,CPP_late_mean,aligned_z2_peak,0.615450918674469
0,sub-STSWD1239,CPP_late_mean,aligned_z2_peak,0.5047333240509033
0,sub-STSWD1240,CPP_late_mean,aligned_z2_peak,0.48089471459388733
0,sub-STSWD1243,CPP_late_mean,aligned_z2_peak,0.45870882272720337
0,sub-STSWD1245,CPP_late_mean,aligned_z2_peak,0.5294347405433655
0,sub-STSWD1247,CPP_late_mean,aligned_z2_peak,0.5976629257202148
0,sub-STSWD1250,CPP_late_mean,aligned_z2_peak,0.5668425559997559
0,sub-STSWD1252,CPP_late_mean,aligned_z2_peak,0.5159353017807007
0,sub-STSWD1257,CPP_late_mean,aligned_z2_peak,0.6251996755599976
0,sub-STSWD1261,CPP_late_mean,aligned_z2_peak,0.5125361084938049
0,sub-STSWD1265,CPP_late_mean,aligned_z2_peak,0.4456079602241516
0,sub-STSWD1266,CPP_late_mean,aligned_z2_peak,0.5698384642601013
0,sub-STSWD1268,CPP_late_mean,aligned_z2_peak,0.49740999937057495
0,sub-STSWD1270,CPP_late_mean,aligned_z2_peak,0.5700793266296387
0,sub-STSWD1276,CPP_late_mean,aligned_z2_peak,0.4977421462535858
0,sub-STSWD1281,CPP_late_mean,aligned_z2_peak,0.5650444030761719
0,sub-STSWD1117,CPP_late_mean,aligned_z2_peak_time,0.32305052876472473
0,sub-STSWD1118,CPP_late_mean,aligned_z2_peak_time,0.2129841446876526
0,sub-STSWD1120,CPP_late_mean,aligned_z2_peak_time,0.3257139325141907
0,sub-STSWD1124,CPP_late_mean,aligned_z2_peak_time,0.24540409445762634
0,sub-STSWD1126,CPP_late_mean,aligned_z2_peak_time,0.2071976363658905
0,sub-STSWD1131,CPP_late_mean,aligned_z2_peak_time,0.2746884226799011
0,sub-STSWD1132,CPP_late_mean,aligned_z2_peak_time,0.29570746421813965
0,sub-STSWD1135,CPP_late_mean,aligned_z2_peak_time,0.38778379559516907
0,sub-STSWD1136,CPP_late_mean,aligned_z2_peak_time,0.37649789452552795
0,sub-STSWD1151,CPP_late_mean,aligned_z2_peak_time,0.2668389678001404
0,sub-STSWD1160,CPP_late_mean,aligned_z2_peak_time,0.27591806650161743
0,sub-STSWD1164,CPP_late_mean,aligned_z2_peak_time,0.27614447474479675
0,sub-STSWD1167,CPP_late_mean,aligned_z2_peak_time,0.34141644835472107
0,sub-STSWD1169,CPP_late_mean,aligned_z2_peak_time,0.49692198634147644
0,sub-STSWD1172,CPP_late_mean,aligned_z2_peak_time,0.3345569670200348
0,sub-STSWD1173,CPP_late_mean,aligned_z2_peak_time,0.21945816278457642
0,sub-STSWD1178,CPP_late_mean,aligned_z2_peak_time,0.36744824051856995
0,sub-STSWD1182,CPP_late_mean,aligned_z2_peak_time,0.14780527353286743
0,sub-STSWD1215,CPP_late_mean,aligned_z2_peak_time,0.36486196517944336
0,sub-STSWD1216,CPP_late_mean,aligned_z2_peak_time,0.28735411167144775
0,sub-STSWD1219,CPP_late_mean,aligned_z2_peak_time,0.3259239196777344
0,sub-STSWD1223,CPP_late_mean,aligned_z2_peak_time,0.2820999026298523
0,sub-STSWD1227,CPP_late_mean,aligned_z2_peak_time,0.29282861948013306
0,sub-STSWD1233,CPP_late_mean,aligned_z2_peak_time,0.16124485433101654
0,sub-STSWD1234,CPP_late_mean,aligned_z2_peak_time,0.3871557414531708
0,sub-STSWD1237,CPP_late_mean,aligned_z2_peak_time,0.34962350130081177
0,sub-STSWD1239,CPP_late_mean,aligned_z2_peak_time,0.35956138372421265
0,sub-STSWD1240,CPP_late_mean,aligned_z2_peak_time,0.2407156378030777
0,sub-STSWD1243,CPP_late_mean,aligned_z2_peak_time,0.25697097182273865
0,sub-STSWD1245,CPP_late_mean,aligned_z2_peak_time,0.37972766160964966
0,sub-STSWD1247,CPP_late_mean,aligned_z2_peak_time,0.4472886919975281
0,sub-STSWD1250,CPP_late_mean,aligned_z2_peak_time,0.3765362501144409
0,sub-STSWD1252,CPP_late_mean,aligned_z2_peak_time,0.3481377363204956
0,sub-STSWD1257,CPP_late_mean,aligned_z2_peak_time,0.22781990468502045
0,sub-STSWD1261,CPP_late_mean,aligned_z2_peak_time,0.472845196723938
0,sub-STSWD1265,CPP_late_mean,aligned_z2_peak_time,0.2226669043302536
