seed,cpp_feature,z_feature,pooled_corr
3,CPP_peak,aligned_z3_late_mean,0.4813856780529022
3,CPP_peak,aligned_z3_slope,-0.027827413489406212
3,CPP_peak,aligned_z3_peak,0.887959897518158
3,CPP_peak,aligned_z3_peak_time,-0.007638409733772278
3,CPP_peak,aligned_z4_late_mean,0.4453955292701721
3,CPP_peak,aligned_z4_slope,-0.02168493907784743
3,CPP_peak,aligned_z4_peak,0.8438457250595093
3,CPP_peak,aligned_z4_peak_time,-0.041597478091716766
3,CPP_peak,aligned_z5_late_mean,0.4127507209777832
3,CPP_peak,aligned_z5_slope,-0.004914696822132247
3,CPP_peak,aligned_z5_peak,0.6878993511199951
3,CPP_peak,aligned_z5_peak_time,0.03433286026120186
3,CPP_peak_time,aligned_z1_late_mean,0.2780289649963379
3,CPP_peak_time,aligned_z1_slope,0.2598052237091358
3,CPP_peak_time,aligned_z1_peak,-0.0535057932138443
3,CPP_peak_time,aligned_z1_peak_time,0.7910521030426025
3,CPP_peak_time,aligned_z2_late_mean,0.24287796020507812
3,CPP_peak_time,aligned_z2_slope,0.2395591654624889
3,CPP_peak_time,aligned_z2_peak,-0.026153473183512688
3,CPP_peak_time,aligned_z2_peak_time,0.5668400526046753
3,CPP_peak_time,aligned_z3_late_mean,0.26835107803344727
3,CPP_peak_time,aligned_z3_slope,0.25671148539534805
3,CPP_peak_time,aligned_z3_peak,-0.03587386757135391
3,CPP_peak_time,aligned_z3_peak_time,0.7316563129425049
3,CPP_peak_time,aligned_z4_late_mean,0.2552725076675415
3,CPP_peak_time,aligned_z4_slope,0.23587460648819208
3,CPP_peak_time,aligned_z4_peak,-0.032634805887937546
3,CPP_peak_time,aligned_z4_peak_time,0.6302708387374878
3,CPP_peak_time,aligned_z5_late_mean,0.2520430088043213
3,CPP_peak_time,aligned_z5_slope,0.24529436599396182
3,CPP_peak_time,aligned_z5_peak,-0.03910539671778679
3,CPP_peak_time,aligned_z5_peak_time,0.6005063056945801
4,CPP_late_mean,aligned_z1_late_mean,0.9311544895172119
4,CPP_late_mean,aligned_z1_slope,0.4532621343735608
4,CPP_late_mean,aligned_z1_peak,0.5393747091293335
4,CPP_late_mean,aligned_z1_peak_time,0.2785160541534424
4,CPP_late_mean,aligned_z2_late_mean,0.9502128958702087
4,CPP_late_mean,aligned_z2_slope,0.4612008008765888
4,CPP_late_mean,aligned_z2_peak,0.5386556386947632
4,CPP_late_mean,aligned_z2_peak_time,0.28324568271636963
4,CPP_late_mean,aligned_z3_late_mean,0.9192521572113037
4,CPP_late_mean,aligned_z3_slope,0.42784396520687973
4,CPP_late_mean,aligned_z3_peak,0.5178513526916504
4,CPP_late_mean,aligned_z3_peak_time,0.25913307070732117
4,CPP_late_mean,aligned_z4_late_mean,0.8687974810600281
4,CPP_late_mean,aligned_z4_slope,0.4313761040378724
4,CPP_late_mean,aligned_z4_peak,0.4955950677394867
4,CPP_late_mean,aligned_z4_peak_time,0.26476991176605225
4,CPP_late_mean,aligned_z5_late_mean,0.7602106928825378
4,CPP_late_mean,aligned_z5_slope,0.39031630254105737
4,CPP_late_mean,aligned_z5_peak,0.43008148670196533
4,CPP_late_mean,aligned_z5_peak_time,0.23665055632591248
4,CPP_slope,aligned_z1_late_mean,0.4451712259896189
4,CPP_slope,aligned_z1_slope,0.934573695139735
4,CPP_slope,aligned_z1_peak,-0.06389503813743691
4,CPP_slope,aligned_z1_peak_time,0.25214914836301244
4,CPP_slope,aligned_z2_late_mean,0.42747953799782956
4,CPP_slope,aligned_z2_slope,0.9489508975319031
4,CPP_slope,aligned_z2_peak,-0.0636666433555891
4,CPP_slope,aligned_z2_peak_time,0.25490186776042967
4,CPP_slope,aligned_z3_late_mean,0.4343569834071188
4,CPP_slope,aligned_z3_slope,0.9190813085800902
4,CPP_slope,aligned_z3_peak,-0.04736309967099048
