seed,cpp_feature,z_feature,subject_level_corr,mean_within_subject_corr
2,CPP_peak_time,aligned_z3_peak_time,0.8811963796615601,0.6715938725122591
2,CPP_peak_time,aligned_z4_late_mean,0.18004421889781952,0.25801066109320014
2,CPP_peak_time,aligned_z4_slope,0.48956721935200126,0.2287270339656073
2,CPP_peak_time,aligned_z4_peak,-0.16814783215522766,-0.014160406026171475
2,CPP_peak_time,aligned_z4_peak_time,0.9020218849182129,0.5276298190398914
2,CPP_peak_time,aligned_z5_late_mean,-0.02218087762594223,0.20222364556862088
2,CPP_peak_time,aligned_z5_slope,0.40035819429426867,0.18827554619521078
2,CPP_peak_time,aligned_z5_peak,-0.15378141403198242,-0.008103392382220524
2,CPP_peak_time,aligned_z5_peak_time,0.549706220626831,0.3083418064364573
3,CPP_late_mean,aligned_z1_late_mean,0.9752846956253052,0.9448753420899554
3,CPP_late_mean,aligned_z1_slope,-0.09594468396861644,0.5138305327835432
3,CPP_late_mean,aligned_z1_peak,0.7037979364395142,0.5176801448915063
3,CPP_late_mean,aligned_z1_peak_time,0.15583722293376923,0.3202379633013795
3,CPP_late_mean,aligned_z2_late_mean,0.9325835704803467,0.7818691901317457
3,CPP_late_mean,aligned_z2_slope,0.07691285608198657,0.4317089024646563
3,CPP_late_mean,aligned_z2_peak,0.5941517353057861,0.4515806748191031
3,CPP_late_mean,aligned_z2_peak_time,0.19051344692707062,0.2859124119688825
3,CPP_late_mean,aligned_z3_late_mean,0.9773738980293274,0.9353981003528689
3,CPP_late_mean,aligned_z3_slope,0.04580832915881219,0.5025906555054312
3,CPP_late_mean,aligned_z3_peak,0.7274066209793091,0.5109305505345507
3,CPP_late_mean,aligned_z3_peak_time,0.2793090045452118,0.3115331290698633
3,CPP_late_mean,aligned_z4_late_mean,0.9177532196044922,0.8955827064630462
3,CPP_late_mean,aligned_z4_slope,0.010343688839979867,0.4854966205668329
3,CPP_late_mean,aligned_z4_peak,0.6899411082267761,0.46127751760366487
3,CPP_late_mean,aligned_z4_peak_time,-0.1055990681052208,0.29002644412401246
3,CPP_late_mean,aligned_z5_late_mean,0.921902596950531,0.8976750155774559
3,CPP_late_mean,aligned_z5_slope,0.0878607078697794,0.5048204510721319
3,CPP_late_mean,aligned_z5_peak,0.686495840549469,0.48071840768907126
3,CPP_late_mean,aligned_z5_peak_time,0.42236843705177307,0.3295313919462809
3,CPP_slope,aligned_z1_late_mean,-0.10025867297910715,0.4782079695029315
3,CPP_slope,aligned_z1_slope,0.9629850119488229,0.9342029540325115
3,CPP_slope,aligned_z1_peak,-0.2278729432588581,-0.0375980224314683
3,CPP_slope,aligned_z1_peak_time,0.521321290907304,0.24226286092215246
3,CPP_slope,aligned_z2_late_mean,-0.04894969606339619,0.40175379600090183
3,CPP_slope,aligned_z2_slope,0.9007764643643347,0.7838393698183312
3,CPP_slope,aligned_z2_peak,-0.15497821743237933,-0.024835030895729287
3,CPP_slope,aligned_z2_peak_time,0.5187295515628874,0.22169061318207306
3,CPP_slope,aligned_z3_late_mean,-0.11011885185970609,0.4771201267212897
3,CPP_slope,aligned_z3_slope,0.9711335864525906,0.9299303050924432
3,CPP_slope,aligned_z3_peak,-0.2296000587264871,-0.03433682345921233
3,CPP_slope,aligned_z3_peak_time,0.5162712116426774,0.2441471658990867
3,CPP_slope,aligned_z4_late_mean,0.020233092524551705,0.4512477439243105
3,CPP_slope,aligned_z4_slope,0.9356060797240844,0.8940125749421847
3,CPP_slope,aligned_z4_peak,-0.20378862150096813,-0.039234220368269415
3,CPP_slope,aligned_z4_peak_time,0.5525469556083177,0.24479462746734965
3,CPP_slope,aligned_z5_late_mean,-0.1343703482036095,0.44898784236899925
3,CPP_slope,aligned_z5_slope,0.9141698074958003,0.8799226537591751
3,CPP_slope,aligned_z5_peak,-0.23296736383934605,-0.02878450558099492
3,CPP_slope,aligned_z5_peak_time,0.4635695722492925,0.23783719167357598
3,CPP_peak,aligned_z1_late_mean,0.826590359210968,0.5173292385368813
3,CPP_peak,aligned_z1_slope,-0.3117194523356655,-0.021556343800660276
3,CPP_peak,aligned_z1_peak,0.9737389087677002,0.9199522064953316
3,CPP_peak,aligned_z1_peak_time,-0.188395157456398,-0.00024314256521259866
3,CPP_peak,aligned_z2_late_mean,0.7396196722984314,0.423031669019199
3,CPP_peak,aligned_z2_slope,-0.11218824319756492,-0.0206278374075161
3,CPP_peak,aligned_z2_peak,0.8160784244537354,0.7655933570207619
3,CPP_peak,aligned_z2_peak_time,-0.05363473296165466,-0.0042094968986220475
3,CPP_peak,aligned_z3_late_mean,0.6802253127098083,0.47551963024023103
3,CPP_peak,aligned_z3_slope,-0.16025737074547233,-0.02384867238288857
3,CPP_peak,aligned_z3_peak,0.9677862524986267,0.8819718200985979
3,CPP_peak,aligned_z3_peak_time,-0.043025869876146317,-0.011535133076150244
3,CPP_peak,aligned_z4_late_mean,0.5330246686935425,0.45494795645155556
3,CPP_peak,aligned_z4_slope,-0.12641691946225025,-0.011468103914147453
3,CPP_peak,aligned_z4_peak,0.9613355398178101,0.8071406948857192
3,CPP_peak,aligned_z4_peak_time,-0.3326667249202728,-0.02828214719618966
3,CPP_peak,aligned_z5_late_mean,0.5884095430374146,0.4464234651588812
3,CPP_peak,aligned_z5_slope,-0.13580460977917536,-0.004979037058347009
3,CPP_peak,aligned_z5_peak,0.8814217448234558,0.7205092994178214
3,CPP_peak,aligned_z5_peak_time,0.09224871546030045,0.03471396827116245
3,CPP_peak_time,aligned_z1_late_mean,0.031224112957715988,0.30061714205800033
3,CPP_peak_time,aligned_z1_slope,0.5497240264476136,0.25386004968208375
3,CPP_peak_time,aligned_z1_peak,-0.21959002315998077,-0.04041446963461434
3,CPP_peak_time,aligned_z1_peak_time,0.9512913227081299,0.7892168207866389
3,CPP_peak_time,aligned_z2_late_mean,0.10518968850374222,0.25790679200393396
3,CPP_peak_time,aligned_z2_slope,0.5812028905058354,0.2311254638208574
3,CPP_peak_time,aligned_z2_peak,-0.1636228859424591,-0.014842034771856739
