seed,model,fold,cv_r2,rmse,mae,n_test_subjects,n_test_trials,delta_r2_vs_cpp_only
2,CPP-only,3,0.0901719954605863,0.2863302150706652,0.2285881440100765,8,1432,-0.007890460437098401
2,CPP-only,4,0.1041582223517078,0.24603727483811214,0.20413164053737656,8,1453,0.006095766454023099
2,CPP-only,5,0.05611148388955134,0.2881975553717347,0.23538650178903586,8,1435,-0.04195097200813336
2,CPP-only,pooled,0.0980624558976847,0.2745918013046841,0.22406327786089425,41,7297,0.0
2,z-only,1,0.13313111540648281,0.2848169596323807,0.23327835524192853,8,1434,0.03506865950879812
2,z-only,2,0.0797960001739475,0.2644823075604272,0.21570872234702798,9,1543,-0.018266455723737196
2,z-only,3,0.09767945646805454,0.2851464387436879,0.22717583271611866,8,1432,-0.00038299942963015976
2,z-only,4,0.11326355843672375,0.24478371995384215,0.20175354212758378,8,1453,0.015201102539039058
2,z-only,5,0.07550784696804613,0.2852210380317302,0.23333121963928463,8,1435,-0.022554608929638564
2,z-only,pooled,0.10741032994445643,0.2731651309521865,0.2220986308539981,41,7297,0.009347874046771731
2,CPP + z,1,0.13660329173003805,0.2842459811459147,0.23264418902287132,8,1434,0.03854083583235335
2,CPP + z,2,0.08475471442720683,0.2637687354729366,0.21516891900300977,9,1543,-0.013307741470477863
2,CPP + z,3,0.099153888990973,0.2849133724145276,0.22714704327171956,8,1432,0.0010914330932882965
2,CPP + z,4,0.11755068396616764,0.24419127220196007,0.2016910857975426,8,1453,0.019488228068482938
2,CPP + z,5,0.053663969452396154,0.2885709633540454,0.23520383076098364,8,1435,-0.04439848644528854
2,CPP + z,pooled,0.1056078373845113,0.2734408062185957,0.22221003424028846,41,7297,0.007545381486826597
2,All-z,1,0.1592886202187026,0.280486912423945,0.2295823262435004,8,1434,0.061226164321017906
2,All-z,2,0.07318796456024668,0.26543023982622793,0.21715698781572335,9,1543,-0.02487449133743802
2,All-z,3,0.11188749997558478,0.2828925566862405,0.2251135006761644,8,1432,0.013825044077900084
2,All-z,4,0.11938568797920412,0.2439372490278505,0.20059551097502232,8,1453,0.021323232081519428
2,All-z,5,0.08010640913160738,0.2845107876685958,0.2314176218083038,8,1435,-0.017956046766077316
2,All-z,pooled,0.11683659629255616,0.27171891121332237,0.220666902253355,41,7297,0.018774140394871464
2,Full,1,0.15829571084022165,0.28065249594768643,0.22964072040240302,8,1434,0.06023325494253695
2,Full,2,0.08311881871108917,0.26400435837643477,0.21625120040355597,9,1543,-0.014943637186595526
2,Full,3,0.10942391390830775,0.28328465088418553,0.22563385477419934,8,1432,0.011361458010623049
2,Full,4,0.12371841665276695,0.24333640871501444,0.20010947034618423,8,1453,0.025655960755082252
2,Full,5,0.05694936924170513,0.2880696111711027,0.23332567060034803,8,1435,-0.04111308665597957
