,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,subj_id
192,1.0,0.29281,2,1,1,1,1,1,1,True,sub-STSWD1117,653665,8,653665.0,sub-STSWD1117
193,1.0,0.30277,2,1,2,1,1,1,1,True,sub-STSWD1117,656096,8,656096.0,sub-STSWD1117
194,1.0,0.29071,2,1,1,1,1,1,1,True,sub-STSWD1117,658528,8,658528.0,sub-STSWD1117
195,1.0,0.28464,2,1,2,1,1,1,1,True,sub-STSWD1117,660960,8,660960.0,sub-STSWD1117
196,1.0,0.76952,1,4,2,1,1,1,1,True,sub-STSWD1117,665441,8,665441.0,sub-STSWD1117
197,1.0,0.61746,1,4,2,1,1,1,1,True,sub-STSWD1117,667873,8,667873.0,sub-STSWD1117
198,1.0,0.6624,3,4,2,1,1,1,1,True,sub-STSWD1117,670304,8,670304.0,sub-STSWD1117
199,1.0,0.58732,2,4,1,1,1,1,1,True,sub-STSWD1117,672737,8,672737.0,sub-STSWD1117
200,0.0,0.84226,4,4,1,1,1,1,1,True,sub-STSWD1117,675169,8,675169.0,sub-STSWD1117
201,1.0,1.0532,4,4,2,1,1,1,1,True,sub-STSWD1117,677601,8,677601.0,sub-STSWD1117
202,1.0,0.64917,2,4,2,1,1,1,1,True,sub-STSWD1117,680032,8,680032.0,sub-STSWD1117
203,1.0,0.58707,1,4,2,1,1,1,1,True,sub-STSWD1117,682465,8,682465.0,sub-STSWD1117
204,1.0,0.53596,2,3,2,1,1,1,1,True,sub-STSWD1117,686944,8,686944.0,sub-STSWD1117
205,1.0,0.88289,3,3,2,1,1,1,1,True,sub-STSWD1117,689376,8,689376.0,sub-STSWD1117
206,0.0,0.85586,3,3,1,1,1,1,1,True,sub-STSWD1117,691808,8,691808.0,sub-STSWD1117
207,1.0,1.1508,3,3,2,1,1,1,1,True,sub-STSWD1117,694240,8,694240.0,sub-STSWD1117
208,1.0,0.90368,3,3,2,1,1,1,1,True,sub-STSWD1117,696672,8,696672.0,sub-STSWD1117
209,1.0,0.68663,2,3,2,1,1,1,1,True,sub-STSWD1117,699104,8,699104.0,sub-STSWD1117
210,1.0,0.71756,4,3,2,1,1,1,1,True,sub-STSWD1117,701536,8,701536.0,sub-STSWD1117
211,1.0,1.0075,4,3,2,1,1,1,1,True,sub-STSWD1117,703968,8,703968.0,sub-STSWD1117
212,1.0,0.62137,2,2,1,1,1,1,1,True,sub-STSWD1117,708448,8,708448.0,sub-STSWD1117
213,1.0,0.47831,3,2,2,1,1,1,1,True,sub-STSWD1117,710880,8,710880.0,sub-STSWD1117
214,1.0,0.2742,3,2,1,1,1,1,1,True,sub-STSWD1117,713312,8,713312.0,sub-STSWD1117
215,1.0,0.48319,2,2,2,1,1,1,1,True,sub-STSWD1117,715744,8,715744.0,sub-STSWD1117
216,1.0,0.38413,2,2,2,1,1,1,1,True,sub-STSWD1117,718176,8,718176.0,sub-STSWD1117
217,1.0,0.591,3,2,1,1,1,1,1,True,sub-STSWD1117,720608,8,720608.0,sub-STSWD1117
218,0.0,0.95998,3,2,1,1,1,1,1,True,sub-STSWD1117,723040,8,723040.0,sub-STSWD1117
219,1.0,0.27497,2,2,2,1,1,1,1,True,sub-STSWD1117,725472,8,725472.0,sub-STSWD1117
220,1.0,0.54381,1,3,1,1,1,1,1,True,sub-STSWD1117,729952,8,729952.0,sub-STSWD1117
221,0.0,0.90774,4,3,1,1,1,1,1,True,sub-STSWD1117,732384,8,732384.0,sub-STSWD1117
222,0.0,1.3096,4,3,1,1,1,1,1,True,sub-STSWD1117,734816,8,734816.0,sub-STSWD1117
223,0.0,0.81762,4,3,1,1,1,1,1,True,sub-STSWD1117,737248,8,737248.0,sub-STSWD1117
