time_ms,latent,correlation_with_log_rt,model_version
-734.2019653320312,z2,-0.1112485518849692,no_prior
-730.2931518554688,z2,-0.1160859459170752,no_prior
-726.3843383789062,z2,-0.1194674184431707,no_prior
-722.4755859375,z2,-0.1208597567254267,no_prior
-718.5667724609375,z2,-0.1201801503644735,no_prior
-714.657958984375,z2,-0.1178901874661374,no_prior
-710.7492065429688,z2,-0.1149993180914072,no_prior
-706.8403930664062,z2,-0.1125608080102024,no_prior
-702.9315795898438,z2,-0.1111394759408792,no_prior
-699.0228271484375,z2,-0.1108807807014471,no_prior
-695.114013671875,z2,-0.1114276289276002,no_prior
-691.2052001953125,z2,-0.1121711777464407,no_prior
-687.29638671875,z2,-0.1126638345082584,no_prior
-683.3876342773438,z2,-0.1127143824745301,no_prior
-679.4788208007812,z2,-0.1123002360162001,no_prior
-675.5700073242188,z2,-0.1115820504789063,no_prior
-671.6612548828125,z2,-0.1109994541984569,no_prior
-667.75244140625,z2,-0.1106340935670968,no_prior
-663.8436279296875,z2,-0.1103556976871855,no_prior
-659.9348754882812,z2,-0.1102938345257198,no_prior
-656.0260620117188,z2,-0.1107928767962544,no_prior
-652.1172485351562,z2,-0.1121054072506872,no_prior
-648.20849609375,z2,-0.1142099397851184,no_prior
-644.2996826171875,z2,-0.1171553723884041,no_prior
-640.390869140625,z2,-0.1208386655350653,no_prior
-636.4820556640625,z2,-0.1248052589788346,no_prior
-632.5733032226562,z2,-0.1283748101418738,no_prior
-628.6644897460938,z2,-0.1310511947423975,no_prior
-624.7556762695312,z2,-0.1328179296892616,no_prior
-620.846923828125,z2,-0.1337520855594823,no_prior
-616.9381103515625,z2,-0.1338683571673068,no_prior
-613.029296875,z2,-0.1333429211325717,no_prior
-609.1205444335938,z2,-0.1325867138825801,no_prior
-605.2117309570312,z2,-0.1320221854231454,no_prior
-601.3029174804688,z2,-0.1316445268232364,no_prior
-597.3941650390625,z2,-0.1312564315195031,no_prior
-593.4853515625,z2,-0.1310544063419003,no_prior
-589.5765380859375,z2,-0.1315202644027003,no_prior
-585.667724609375,z2,-0.1330301319613469,no_prior
-581.7589721679688,z2,-0.1354688312827495,no_prior
-577.8501586914062,z2,-0.1383884820692444,no_prior
-573.9413452148438,z2,-0.1412126902816857,no_prior
-570.0325927734375,z2,-0.1434881021863798,no_prior
-566.123779296875,z2,-0.1450062298496229,no_prior
-562.2149658203125,z2,-0.1459418004418766,no_prior
-558.3062133789062,z2,-0.1465845321139689,no_prior
-554.3973999023438,z2,-0.1472680458045542,no_prior
-550.4885864257812,z2,-0.1483703913240073,no_prior
-546.579833984375,z2,-0.1499495702592526,no_prior
-542.6710205078125,z2,-0.1517317938065435,no_prior
-538.76220703125,z2,-0.1530189904827183,no_prior
-534.8533935546875,z2,-0.1531498253666522,no_prior
-530.9446411132812,z2,-0.1520090814096282,no_prior
-527.0358276367188,z2,-0.1500962044114629,no_prior
-523.1270141601562,z2,-0.148163412002006,no_prior
-519.21826171875,z2,-0.1468145843659996,no_prior
-515.3094482421875,z2,-0.146294199281441,no_prior
