probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
0.0,0.62817,3,3,1,1,1,1,1,True,sub-STSWD1117,302039,8,302039.0,-2.3786650076890736,-0.8852733156357075,1.3622357039188975,1st,1st,4th,-1.1896506904453836,-1.144855065854786,1.1996708374367313
1.0,0.54205,2,3,2,1,1,1,1,True,sub-STSWD1117,304471,8,304471.0,-1.9309768495584787,-1.1060461495740992,-0.24908886913174114,1st,1st,2nd,-1.1896506904453836,-1.144855065854786,-0.30266708760987315
1.0,0.73804,3,3,2,1,1,1,1,True,sub-STSWD1117,306903,8,306903.0,-0.09874115545685541,-0.5999917934350147,0.4598572981508969,2nd,1st,3rd,-0.2974868301304781,-1.144855065854786,0.4135440755669983
0.0,0.69297,3,3,1,1,1,1,1,True,sub-STSWD1117,309335,8,309335.0,1.7135568241908548,0.4575165282343759,-0.3637724488147147,4th,3rd,2nd,1.2102077521995167,0.2310303470787792,-0.30266708760987315
1.0,0.62683,3,3,2,1,1,1,1,True,sub-STSWD1117,311767,8,311767.0,0.2168660074104516,-1.795909721551249,2.2670318986024345,3rd,1st,4th,0.29581311266912874,-1.144855065854786,1.1996708374367313
0.0,0.78684,4,3,1,1,1,1,1,True,sub-STSWD1117,314199,8,314199.0,-0.38995993796269923,-2.1196778581878384,-1.8562178927948414,2nd,1st,1st,-0.2974868301304781,-1.144855065854786,-1.2900705156220775
1.0,0.64678,2,3,2,1,1,1,1,True,sub-STSWD1117,316631,8,316631.0,-0.8218337804619977,-0.3818168788032769,0.27515170626173363,1st,2nd,3rd,-1.1896506904453836,-0.31970293339417105,0.4135440755669983
0.0,0.93165,4,3,1,1,1,1,1,True,sub-STSWD1117,319063,8,319063.0,-0.36254813512978623,-1.117205209684826,1.6000095381909247,2nd,1st,4th,-0.2974868301304781,-1.144855065854786,1.1996708374367313
1.0,1.1336,1,2,1,1,1,1,1,True,sub-STSWD1117,323543,8,323543.0,1.0407842220713215,-0.7763159019243917,1.4189888179580006,4th,1st,4th,1.2102077521995167,-1.144855065854786,1.1996708374367313
1.0,0.65753,4,2,1,1,1,1,1,True,sub-STSWD1117,325975,8,325975.0,-1.068506034452633,0.7796188283854711,-0.12657658650093448,1st,4th,2nd,-1.1896506904453836,1.2321201508000914,-0.30266708760987315
1.0,1.0454,4,2,1,1,1,1,1,True,sub-STSWD1117,328407,8,328407.0,-0.30455761099978124,-1.3929634515592237,0.7149760290813335,2nd,1st,3rd,-0.2974868301304781,-1.144855065854786,0.4135440755669983
1.0,0.8284,4,2,2,1,1,1,1,True,sub-STSWD1117,330839,8,330839.0,-0.6616318622545285,1.0768087727248068,-0.22557961526349338,1st,4th,2nd,-1.1896506904453836,1.2321201508000914,-0.30266708760987315
