probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,stim_onset,stim_code,is_valid_trial,is_missing_response,is_rt_outlier,resp_onset_sample,response_sample,response_sample_source,trial_index,subject_id,cpp_channels,sampling_frequency,pre_response_slope,late_amplitude,post_response_amplitude,post_response_drop,pre_response_monotonicity,epoch_n_times,tensor_row_index,pre_response_slope_z,late_amplitude_z,post_response_drop_z,pre_response_monotonicity_z,cpp_score,morphology_gate,cpp_label,cpp_threshold,task_proxy_label
1.0,0.63779,4,4,2,1,1,1,1,sub-STSWD1117,153647,8,True,False,False,153647.0,153810,stim_onset_plus_probe_rt,41,sub-1117,"CP1,CPz,CP2,Pz",256.0,2.948708854887167e-06,5.08895e-06,4.61888e-06,4.700696e-07,0.5798367362657951,206,41,0.1375022497368701,1.0099771,0.1635924,1.4239525560543196,0.578013722345814,1,1,0.004399449557834897,1
1.0,0.92576,2,4,2,1,1,1,1,sub-STSWD1117,156078,8,True,False,False,156078.0,156315,stim_onset_plus_probe_rt,42,sub-1117,"CP1,CPz,CP2,Pz",256.0,-5.422709130025504e-06,-8.10162e-07,-1.5705742e-06,7.604122e-07,-0.2556053837995641,206,42,-0.13724300419942922,-0.44729632,0.28038153,-0.6927919942279783,-0.18587251205205074,0,0,0.004399449557834897,1
0.0,0.5447,1,4,1,1,1,1,1,sub-STSWD1117,158510,8,True,False,False,158510.0,158649,stim_onset_plus_probe_rt,43,sub-1117,"CP1,CPz,CP2,Pz",256.0,4.079385340328774e-05,-1.2696519e-06,1.3716046e-06,-2.6412565e-06,0.5621349991372535,206,43,1.379558717105431,-0.5608053,-1.0879258,1.3791019856827433,0.12010817070475406,0,0,0.004399449557834897,1
1.0,0.80453,4,2,2,1,1,1,1,sub-STSWD1117,162990,8,True,False,False,162990.0,163196,stim_onset_plus_probe_rt,44,sub-1117,"CP1,CPz,CP2,Pz",256.0,-3.900798249556782e-05,4.2990686e-07,-1.3118831e-06,1.74179e-06,-0.4751316699460321,206,44,-1.2394928830092034,-0.14095877,0.67513674,-1.2490017647000429,-0.37994736899793197,0,0,0.004399449557834897,1
0.0,0.92146,3,2,1,1,1,1,1,sub-STSWD1117,165422,8,True,False,False,165422.0,165658,stim_onset_plus_probe_rt,45,sub-1117,"CP1,CPz,CP2,Pz",256.0,1.9584381224696905e-05,-6.312712e-06,-5.1080983e-06,-1.2046135e-06,-0.7991167980355968,206,45,0.6834757082216497,-1.806606,-0.510042,-2.0698770088192244,-0.7623173892090903,0,0,0.004399449557834897,1
1.0,0.60645,4,2,1,1,1,1,1,sub-STSWD1117,167854,8,True,False,False,167854.0,168009,stim_onset_plus_probe_rt,46,sub-1117,"CP1,CPz,CP2,Pz",256.0,9.747370236236536e-06,6.910723e-06,5.1126185e-06,1.7981047e-06,0.6778706828154342,206,46,0.36063051199926743,1.4600147,0.6977891,1.6723393887476246,0.9584582800723098,1,1,0.004399449557834897,1
1.0,0.25835,4,2,2,1,1,1,1,sub-STSWD1117,170286,8,True,False,False,170286.0,170352,stim_onset_plus_probe_rt,47,sub-1117,"CP1,CPz,CP2,Pz",256.0,-5.34352139114526e-06,8.607478e-06,6.921878e-06,1.6855997e-06,0.17642884570959722,206,47,-0.13464410691984,1.8791686,0.6525344,0.40184529887065557,0.742280456405836,0,0,0.004399449557834897,1
1.0,0.41527,3,2,2,1,1,1,1,sub-STSWD1117,172718,8,True,False,False,172718.0,172824,stim_onset_plus_probe_rt,48,sub-1117,"CP1,CPz,CP2,Pz",256.0,6.476586610587835e-05,1.5556675e-06,4.300709e-06,-2.7450415e-06,0.30130850803655795,206,48,2.166306760173807,0.1371409,-1.1296728,0.7182506348273915,0.43797148907208944,0,0,0.004399449557834897,1
1.0,0.46321,4,2,1,1,1,1,1,sub-STSWD1117,175150,8,True,False,False,175150.0,175269,stim_onset_plus_probe_rt,49,sub-1117,"CP1,CPz,CP2,Pz",256.0,-1.3651746891040445e-05,3.140064e-06,3.1722984e-06,-3.223431e-08,0.20916480300168366,206,49,-0.4073154188579874,0.52853864,-0.03845729,0.48478780025049617,0.09290281035513173,0,0,0.004399449557834897,1
1.0,0.31115,3,2,2,1,1,1,1,sub-STSWD1117,177582,8,True,False,False,177582.0,177662,stim_onset_plus_probe_rt,50,sub-1117,"CP1,CPz,CP2,Pz",256.0,-6.014034388573209e-05,5.064454e-06,3.599282e-06,1.4651719e-06,0.11611074731258751,206,50,-1.9330451589651025,1.0039258,0.5638682,0.24901842672866556,-0.06878340590184695,0,0,0.004399449557834897,1
0.0,0.33309,3,2,1,1,1,1,1,sub-STSWD1117,180014,8,True,False,False,180014.0,180099,stim_onset_plus_probe_rt,51,sub-1117,"CP1,CPz,CP2,Pz",256.0,-9.48178788639633e-06,1.4540866e-06,1.7190667e-06,-2.6498014e-07,-0.10255437461206895,206,51,-0.270459697676738,0.1120471,-0.13207835,-0.3050094275703491,-0.12657018927862615,0,0,0.004399449557834897,1
1.0,0.25397,4,1,1,1,1,1,1,sub-STSWD1117,184494,8,True,False,False,184494.0,184559,stim_onset_plus_probe_rt,52,sub-1117,"CP1,CPz,CP2,Pz",256.0,3.994012905434049e-05,2.8608474e-06,3.7451641e-06,-8.843167e-07,0.08582764034782861,206,52,1.3515399616848032,0.45956302,-0.38120395,0.1722906677448901,0.4331555322849375,0,0,0.004399449557834897,1
1.0,0.28291,4,1,2,1,1,1,1,sub-STSWD1117,186926,8,True,False,False,186926.0,186998,stim_onset_plus_probe_rt,53,sub-1117,"CP1,CPz,CP2,Pz",256.0,-5.461737910155508e-06,1.6076067e-06,1.4444176e-06,1.6318904e-07,-0.28934369855955344,206,53,-0.13852390692426836,0.14997157,0.040150955,-0.7782741505481903,-0.09643955780972922,0,0,0.004399449557834897,1
1.0,0.49978,4,1,1,1,1,1,1,sub-STSWD1117,189358,8,True,False,False,189358.0,189486,stim_onset_plus_probe_rt,54,sub-1117,"CP1,CPz,CP2,Pz",256.0,5.074649194240394e-06,3.0559077e-06,3.7734787e-06,-7.175711e-07,0.004883085995510362,206,54,0.20727442207872432,0.50774926,-0.3141312,-0.03279708182523517,0.10985541152126628,0,0,0.004399449557834897,1
1.0,0.31678,4,1,2,1,1,1,1,sub-STSWD1117,191790,8,True,False,False,191790.0,191871,stim_onset_plus_probe_rt,55,sub-1117,"CP1,CPz,CP2,Pz",256.0,2.733414564763623e-05,4.937505e-06,6.1734636e-06,-1.2359587e-06,0.6834447447051167,206,55,0.9378186401077793,0.9725653,-0.52265054,1.6864622882813456,0.6374184393387127,0,0,0.004399449557834897,1
1.0,0.32371,4,1,2,1,1,1,1,sub-STSWD1117,194222,8,True,False,False,194222.0,194305,stim_onset_plus_probe_rt,56,sub-1117,"CP1,CPz,CP2,Pz",256.0,3.0161012192671506e-05,2.2516952e-06,7.4748723e-06,-5.223177e-06,0.1211053331858203,206,56,1.0305948183083529,0.30908248,-2.1264927,0.2616731183873233,-0.18742253798197273,0,0,0.004399449557834897,1
1.0,0.40765,4,1,1,1,1,1,1,sub-STSWD1117,196654,8,True,False,False,196654.0,196758,stim_onset_plus_probe_rt,57,sub-1117,"CP1,CPz,CP2,Pz",256.0,3.556589716630665e-05,-1.0465014e-07,-4.0457945e-07,2.999293e-07,0.050607648514488617,206,57,1.2079801187740742,-0.27301183,0.09515416,0.08305441309163289,0.30618561447474063,0,0,0.004399449557834897,1
0.0,0.29958,4,1,1,1,1,1,1,sub-STSWD1117,199086,8,True,False,False,199086.0,199163,stim_onset_plus_probe_rt,58,sub-1117,"CP1,CPz,CP2,Pz",256.0,-1.4664838399840815e-05,-2.1677536e-06,-4.8364205e-07,-1.6841116e-06,-0.38746978571736906,206,58,-0.4405645152891662,-0.78266585,-0.7029182,-1.0268944382296186,-0.6970273585767427,0,0,0.004399449557834897,1
1.0,0.31652,4,1,2,1,1,1,1,sub-STSWD1117,201518,8,True,False,False,201518.0,201599,stim_onset_plus_probe_rt,59,sub-1117,"CP1,CPz,CP2,Pz",256.0,-1.849612006495769e-05,-1.9081276e-06,3.8886797e-06,-5.7968073e-06,-0.31067686911427433,206,59,-0.5663050356981474,-0.7185297,-2.3572333,-0.8323256179417847,-1.1594945233731087,0,0,0.004399449557834897,1
1.0,0.79883,1,4,2,1,1,1,1,sub-STSWD1117,237528,8,True,False,False,237528.0,237733,stim_onset_plus_probe_rt,60,sub-1117,"CP1,CPz,CP2,Pz",256.0,-1.4914047062068996e-06,-3.153684e-06,-4.1704525e-06,1.0167685e-06,-0.31633825341569843,206,60,-0.00821979281880589,-1.026223,0.38349977,-0.8466697646866911,-0.30693652801863214,0,0,0.004399449557834897,1
1.0,0.86186,3,4,2,1,1,1,1,sub-STSWD1117,239960,8,True,False,False,239960.0,240181,stim_onset_plus_probe_rt,61,sub-1117,"CP1,CPz,CP2,Pz",256.0,3.825705072467309e-05,3.199514e-06,-1.2349269e-06,4.4344406e-06,-0.1290224183300516,206,61,1.2963022726920255,0.5432247,1.7582444,-0.3720710299854755,0.974781670085713,1,1,0.004399449557834897,1
