comparison,metric,difference,sample_index
late_pre_response_minus_mid_pre_response,participation_ratio,-0.3163725023948043,46
mid_pre_response_minus_early_pre_response,pc1_explained,-0.007679845233096172,46
mid_pre_response_minus_early_pre_response,participation_ratio,0.02320238275031139,46
late_pre_response_minus_early_pre_response,pc1_explained,0.06882182059435338,47
late_pre_response_minus_early_pre_response,participation_ratio,-0.35401604440930434,47
late_pre_response_minus_mid_pre_response,pc1_explained,0.045136229958452345,47
late_pre_response_minus_mid_pre_response,participation_ratio,-0.22896916704809378,47
mid_pre_response_minus_early_pre_response,pc1_explained,0.023685590635901033,47
mid_pre_response_minus_early_pre_response,participation_ratio,-0.12504687736121056,47
late_pre_response_minus_early_pre_response,pc1_explained,0.059798835376676074,48
late_pre_response_minus_early_pre_response,participation_ratio,-0.3285161838363524,48
late_pre_response_minus_mid_pre_response,pc1_explained,0.0342049592670447,48
late_pre_response_minus_mid_pre_response,participation_ratio,-0.19344366932905466,48
mid_pre_response_minus_early_pre_response,pc1_explained,0.025593876109631375,48
mid_pre_response_minus_early_pre_response,participation_ratio,-0.13507251450729774,48
late_pre_response_minus_early_pre_response,pc1_explained,0.07978432177944705,49
late_pre_response_minus_early_pre_response,participation_ratio,-0.42123482091167475,49
late_pre_response_minus_mid_pre_response,pc1_explained,0.08327780699454213,49
late_pre_response_minus_mid_pre_response,participation_ratio,-0.42454467034399634,49
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0034934852150950713,49
mid_pre_response_minus_early_pre_response,participation_ratio,0.003309849432321599,49
late_pre_response_minus_early_pre_response,pc1_explained,0.024041082929010527,50
late_pre_response_minus_early_pre_response,participation_ratio,-0.14280415573814453,50
late_pre_response_minus_mid_pre_response,pc1_explained,0.023992130284231528,50
late_pre_response_minus_mid_pre_response,participation_ratio,-0.11983268468967667,50
mid_pre_response_minus_early_pre_response,pc1_explained,4.8952644778998966e-05,50
mid_pre_response_minus_early_pre_response,participation_ratio,-0.022971471048467862,50
late_pre_response_minus_early_pre_response,pc1_explained,0.045716614032540015,51
