latent_trial_index,cpp_late_amplitude,cpp_pre_response_slope,cpp_pre_response_auc
65,-1.2352926432868117e-06,7.817901909773954e-09,-0.0023258973952294693
66,2.2066669771447778e-06,1.5611576415994697e-08,0.0003184706287377441
67,4.557085958367679e-06,1.6618113250072746e-08,0.0008978084189967034
68,-1.3524917221729993e-06,-1.461293064705155e-08,0.0015753731830110964
69,-5.33482555908904e-08,-7.87698667642181e-09,0.00014859421157995966
70,-4.0519184949516784e-06,1.4766606452316968e-10,-0.0019426746673676277
71,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
72,-6.776370355510153e-06,-6.603349980965214e-09,-0.003251897621481141
73,-7.928697698389442e-08,-5.3261933184633665e-09,0.0008198076003994158
74,2.210809498137678e-06,1.2422997666297943e-08,-0.0015299659507656657
75,8.72223245096393e-06,2.1073461605513353e-09,0.0020532493341968447
76,9.465536550123943e-07,2.376338768394792e-09,-0.0005517350792152655
77,-2.2580934455618262e-06,6.383762293158862e-09,-0.001540092046084091
78,1.4859324437566102e-06,-1.2969399359872565e-09,0.0005883779597501131
79,-2.532387043174822e-06,1.8767300598525065e-09,-0.0014956196284907244
80,-3.917006324627437e-06,2.2200156162626614e-09,0.0004307536558794819
81,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
82,6.374878012138652e-06,-5.726107070529145e-11,0.0020389454776168787
83,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
84,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
85,-6.763543296983698e-06,-1.8381988662965794e-08,-0.0015789110908515014
86,4.559568878903519e-06,-8.208664049896625e-10,0.002490807674139054
87,-1.3186587466407218e-06,3.4508167976340574e-11,0.0005876089932447561
88,9.650528227211908e-06,1.3852955349001993e-08,0.0031527215073759176
89,1.7851598386187106e-06,1.2344937396904856e-08,-0.0003417956290451999
90,8.300424269691575e-06,7.143865930506968e-09,0.0031699836080185135
91,-5.2070963647565804e-06,-7.884068170488732e-09,-0.0035665942224949853
92,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
93,-2.097641299769748e-06,3.5222865341493446e-09,-0.0018043960418169718
94,-1.431332293577725e-06,2.887730736933543e-09,7.58006775379769e-05
95,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
96,2.6945162971969694e-06,4.541135236512291e-09,0.00046336130259649416
97,4.946301487507299e-06,8.792050034383833e-09,0.0016166661582441822
98,-4.3028296659031184e-07,8.617810800495432e-09,-0.0009488454133587002
99,5.733117632189533e-06,1.841330464024706e-09,-0.00032011162954513714
100,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
101,3.0613832677772734e-06,5.040037091767509e-09,-0.000834488472321632
102,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
103,-4.768422058987198e-06,-2.248171313062262e-09,-0.002904975512299187
104,2.134543422016577e-07,2.115656618330699e-09,-0.0017877820118585041
105,6.29965734333382e-06,1.669003256939352e-08,0.000759832484334297
106,2.0413297079358017e-06,7.619478906758242e-09,-0.0012564139652412548
107,3.101393758697668e-06,5.262858160636579e-09,-0.000537069573231501
108,4.900824933429249e-06,1.0376399094558031e-08,0.001558413780773323
109,2.1989467313687783e-06,1.1209759755395806e-08,-0.00043799235895960965
110,-4.430120952747529e-06,-7.03082131379127e-09,-0.0003308365265267392
111,7.119180281733861e-06,4.0733377407235975e-09,0.002615213636103823
112,-2.8607016702153487e-06,-9.166317081193833e-09,7.750841922762343e-05
113,7.287582320714137e-06,8.015413457076387e-09,0.0041697055801094085
114,2.395833689661231e-06,9.116827198662402e-09,-0.0006373007947003218
